step,stride,bandwidth
8,8,1658.213
8,16,814.794
8,32,420.726
8,64,213.939
8,128,201.986
8,256,195.872
8,512,188.433
8,1024,120.409
8,2048,110.455
8,4096,95.598
8,8192,101.283
32,32,1681.872
32,64,845.901
32,128,790.094
32,256,771.320
32,512,742.289
32,1024,480.706
32,2048,437.730
32,4096,378.470
32,8192,393.380
64,64,1540.749
64,128,1047.608
64,256,983.540
64,512,916.828
64,1024,764.820
64,2048,696.678
64,4096,617.725
64,8192,548.864
