reads_per_thread,step,stride,bandwidth
4,8,262144,135.324
4,8,524288,76.120
4,8,1048576,34.546
4,32,32,3025.010
4,32,64,1511.712
4,32,128,1367.812
4,32,256,1012.045
4,32,512,981.340
4,32,1024,958.156
4,32,2048,948.022
4,32,4096,933.257
4,32,8192,895.738
4,32,16384,854.931
4,32,32768,792.588
4,32,65536,703.999
4,32,131072,544.818
4,32,262144,631.140
4,32,524288,332.872
4,32,1048576,156.774
4,64,64,2972.259
4,64,128,2343.257
4,64,256,1826.817
4,64,512,1715.713
4,64,1024,1738.688
4,64,2048,1758.006
4,64,4096,1712.754
4,64,8192,1640.525
4,64,16384,1543.341
4,64,32768,1353.591
4,64,65536,1149.976
4,64,131072,974.190
4,64,262144,829.573
4,64,524288,438.236
4,64,1048576,196.585
8,8,8,3027.201
8,8,16,1510.233
8,8,32,754.950
8,8,64,377.393
8,8,128,336.454
8,8,256,246.271
8,8,512,243.302
8,8,1024,239.909
8,8,2048,236.917
8,8,4096,233.543
8,8,8192,226.965
8,8,16384,216.492
8,8,32768,197.225
8,8,65536,168.878
8,8,131072,129.846
8,8,262144,134.311
8,8,524288,69.846
8,8,1048576,33.759
8,32,32,2992.486
8,32,64,1495.425
8,32,128,1252.750
8,32,256,909.692
8,32,512,886.538
8,32,1024,869.313
8,32,2048,859.383
8,32,4096,841.588
8,32,8192,813.801
8,32,16384,778.887
8,32,32768,714.476
8,32,65536,655.986
8,32,131072,521.531
8,32,262144,454.159
8,32,524288,231.589
8,32,1048576,102.448
8,64,64,3007.814
8,64,128,2240.219
8,64,256,1947.985
8,64,512,1862.460
8,64,1024,1820.661
8,64,2048,1814.103
8,64,4096,1762.611
8,64,8192,1694.894
8,64,16384,1555.978
8,64,32768,1427.136
8,64,65536,1327.006
8,64,131072,989.144
8,64,262144,657.111
8,64,524288,343.212
8,64,1048576,180.851
16,8,8,3024.213
16,8,16,1511.009
16,8,32,754.513
16,8,64,376.298
16,8,128,334.416
16,8,256,244.715
16,8,512,241.656
16,8,1024,238.537
16,8,2048,237.135
16,8,4096,233.405
16,8,8192,226.711
16,8,16384,215.680
16,8,32768,195.008
16,8,65536,167.725
16,8,131072,130.312
16,8,262144,114.624
16,8,524288,59.346
16,8,1048576,26.187
16,32,32,3001.918
16,32,64,1492.009
16,32,128,1276.804
16,32,256,924.652
16,32,512,907.726
16,32,1024,893.223
16,32,2048,885.215
16,32,4096,869.899
16,32,8192,840.473
16,32,16384,812.844
16,32,32768,771.333
16,32,65536,674.137
16,32,131072,505.482
16,32,262144,350.387
16,32,524288,184.872
16,32,1048576,83.200
16,64,64,2975.787
16,64,128,2201.917
16,64,256,1865.200
16,64,512,1815.529
16,64,1024,1769.699
16,64,2048,1745.456
16,64,4096,1716.229
16,64,8192,1609.300
16,64,16384,1575.091
16,64,32768,1492.989
16,64,65536,1288.159
16,64,131072,823.966
16,64,262144,423.999
16,64,524288,230.463
16,64,1048576,107.424
32,8,8,3021.333
32,8,16,1508.979
32,8,32,752.386
32,8,64,374.253
32,8,128,332.767
32,8,256,243.288
32,8,512,240.917
32,8,1024,238.252
32,8,2048,236.124
32,8,4096,232.474
32,8,8192,225.606
32,8,16384,216.708
32,8,32768,196.086
32,8,65536,163.296
32,8,131072,130.149
32,8,262144,90.126
32,8,524288,45.303
32,8,1048576,22.593
32,32,32,3010.712
32,32,64,1496.963
32,32,128,1325.155
32,32,256,969.052
32,32,512,953.727
32,32,1024,938.327
32,32,2048,927.469
32,32,4096,905.072
32,32,8192,880.467
32,32,16384,863.281
32,32,32768,787.982
32,32,65536,683.107
32,32,131072,450.449
32,32,262144,239.499
32,32,524288,120.274
32,32,1048576,59.550
32,64,64,2867.813
32,64,128,2122.924
32,64,256,1645.549
32,64,512,1615.657
32,64,1024,1593.534
32,64,2048,1576.493
32,64,4096,1514.364
32,64,8192,1576.193
32,64,16384,1651.926
32,64,32768,1511.472
32,64,65536,1001.616
32,64,131072,500.156
32,64,262144,253.407
32,64,524288,126.980
32,64,1048576,63.312
64,8,8,3016.599
64,8,16,1506.226
64,8,32,751.591
64,8,64,374.557
64,8,128,332.287
64,8,256,242.377
64,8,512,240.454
64,8,1024,237.931
64,8,2048,235.572
64,8,4096,232.051
64,8,8192,226.000
64,8,16384,215.966
64,8,32768,188.853
64,8,65536,166.537
64,8,131072,118.030
64,8,262144,62.256
64,8,524288,31.750
64,8,1048576,15.416
64,32,32,3010.741
64,32,64,1497.455
64,32,128,1323.899
64,32,256,965.779
64,32,512,952.281
64,32,1024,936.130
64,32,2048,920.158
64,32,4096,918.099
64,32,8192,904.590
64,32,16384,881.834
64,32,32768,765.414
64,32,65536,574.691
64,32,131072,289.393
64,32,262144,146.117
64,32,524288,73.869
64,32,1048576,36.710
64,64,64,2845.894
64,64,128,2145.512
64,64,256,1666.484
64,64,512,1621.269
64,64,1024,1601.295
64,64,2048,1577.040
64,64,4096,1656.610
64,64,8192,1736.304
64,64,16384,1662.462
64,64,32768,1103.349
64,64,65536,562.768
64,64,131072,279.087
64,64,262144,140.157
64,64,524288,70.375
64,64,1048576,35.232
128,8,8,3006.707
128,8,16,1502.631
128,8,32,749.600
128,8,64,373.254
128,8,128,331.831
128,8,256,241.073
128,8,512,239.527
128,8,1024,237.354
128,8,2048,234.860
128,8,4096,232.370
128,8,8192,225.041
128,8,16384,210.706
128,8,32768,195.824
128,8,65536,147.677
128,8,131072,78.011
128,8,262144,39.529
128,8,524288,19.823
128,8,1048576,9.522
128,32,32,2990.289
128,32,64,1455.879
128,32,128,1228.363
128,32,256,891.305
128,32,512,882.851
128,32,1024,869.102
128,32,2048,879.886
128,32,4096,926.948
128,32,8192,902.266
128,32,16384,852.343
128,32,32768,644.148
128,32,65536,323.541
128,32,131072,163.577
128,32,262144,82.221
128,32,524288,41.095
128,32,1048576,20.685
128,64,64,2970.388
128,64,128,2232.024
128,64,256,1759.103
128,64,512,1752.837
128,64,1024,1645.767
128,64,2048,1743.171
128,64,4096,1802.523
128,64,8192,1748.956
128,64,16384,1179.397
128,64,32768,591.106
128,64,65536,294.927
128,64,131072,147.700
128,64,262144,74.672
128,64,524288,37.097
128,64,1048576,18.572
256,8,8,3004.016
256,8,16,1498.923
256,8,32,748.278
256,8,64,373.713
256,8,128,330.861
256,8,256,240.289
256,8,512,238.919
256,8,1024,236.498
256,8,2048,235.033
256,8,4096,232.118
256,8,8192,213.599
256,8,16384,209.984
256,8,32768,169.164
256,8,65536,89.243
256,8,131072,42.216
256,8,262144,22.343
256,8,524288,11.244
256,8,1048576,7.672
256,32,32,3000.562
256,32,64,1496.455
256,32,128,1305.918
256,32,256,950.711
256,32,512,931.733
256,32,1024,929.442
256,32,2048,942.367
256,32,4096,934.640
256,32,8192,843.118
256,32,16384,698.020
256,32,32768,350.541
256,32,65536,175.300
256,32,131072,87.774
256,32,262144,43.275
256,32,524288,22.060
256,32,1048576,19.207
256,64,64,2790.488
256,64,128,2124.389
256,64,256,1616.320
256,64,512,1579.372
256,64,1024,1680.528
256,64,2048,1814.326
256,64,4096,1824.148
256,64,8192,1217.771
256,64,16384,609.117
256,64,32768,304.627
256,64,65536,152.267
256,64,131072,76.250
256,64,262144,37.909
256,64,524288,19.070
256,64,1048576,17.740
