reads_per_thread,step,stride,bandwidth
1,8,8,2589.580
1,8,16,1505.551
1,8,32,753.024
1,8,64,377.684
1,8,128,356.524
1,8,256,284.570
1,8,512,261.020
1,8,1024,247.475
1,8,2048,242.511
1,8,4096,238.336
1,8,8192,225.840
1,8,16384,216.302
1,8,32768,196.885
1,8,65536,177.978
1,8,131072,122.467
1,8,262144,131.474
1,8,524288,74.558
1,8,1048576,38.986
1,32,32,3011.581
1,32,64,1510.630
1,32,128,1433.267
1,32,256,1125.361
1,32,512,1034.796
1,32,1024,987.697
1,32,2048,968.111
1,32,4096,950.038
1,32,8192,905.052
1,32,16384,863.389
1,32,32768,788.277
1,32,65536,672.419
1,32,131072,519.401
1,32,262144,504.173
1,32,524288,288.252
1,32,1048576,155.792
1,64,64,3022.507
1,64,128,2562.734
1,64,256,2221.993
1,64,512,2065.434
1,64,1024,1971.494
1,64,2048,1929.493
1,64,4096,1885.431
1,64,8192,1795.025
1,64,16384,1704.610
1,64,32768,1527.875
1,64,65536,1294.884
1,64,131072,991.108
1,64,262144,844.494
1,64,524288,509.279
1,64,1048576,289.986
2,8,8,3024.046
2,8,16,1511.845
2,8,32,756.140
2,8,64,378.218
2,8,128,347.486
2,8,256,263.200
2,8,512,250.481
2,8,1024,242.906
2,8,2048,239.473
2,8,4096,235.554
2,8,8192,226.101
2,8,16384,215.710
2,8,32768,196.786
2,8,65536,163.705
2,8,131072,127.912
2,8,262144,116.511
2,8,524288,73.706
2,8,1048576,38.734
2,32,32,3024.683
2,32,64,1513.142
2,32,128,1394.172
2,32,256,1051.686
2,32,512,1003.932
2,32,1024,971.432
2,32,2048,955.919
2,32,4096,939.791
2,32,8192,903.274
2,32,16384,860.129
2,32,32768,780.603
2,32,65536,668.554
2,32,131072,512.957
2,32,262144,509.654
2,32,524288,299.200
2,32,1048576,147.953
2,64,64,3018.488
2,64,128,2328.662
2,64,256,1754.334
2,64,512,1682.025
2,64,1024,1695.346
2,64,2048,1711.691
2,64,4096,1680.793
2,64,8192,1606.913
2,64,16384,1505.601
2,64,32768,1319.896
2,64,65536,1134.878
2,64,131072,881.450
2,64,262144,839.826
2,64,524288,522.384
2,64,1048576,261.957
4,8,8,3024.789
4,8,16,1513.296
4,8,32,755.958
4,8,64,377.899
4,8,128,339.905
4,8,256,252.518
4,8,512,245.893
4,8,1024,240.655
4,8,2048,237.689
4,8,4096,233.933
4,8,8192,226.683
4,8,16384,216.819
4,8,32768,196.350
4,8,65536,168.874
4,8,131072,129.690
