step,stride,bandwidth
8,8,2717.325
8,16,1915.014
8,32,1152.736
8,64,639.077
8,128,591.258
8,256,472.232
8,512,420.936
8,1024,370.823
8,2048,325.486
8,4096,247.538
8,8192,248.279
32,32,2752.975
32,64,1901.733
32,128,1734.372
32,256,1505.968
32,512,1369.508
32,1024,1207.383
32,2048,1051.013
32,4096,838.861
32,8192,734.107
64,64,2177.033
64,128,2009.884
64,256,1851.240
64,512,1775.857
64,1024,1659.307
64,2048,1508.511
64,4096,1222.536
64,8192,986.379
